name,length,count_T_pos_1,count_T_pos_2,count_T_neg_1,count_T_neg_2,count_T_neg_3,count_TS_pos_1,count_TS_pos_2,count_TS_neg_1,count_SB_pos_1,count_SB_pos_2,count_SB_pos_3,count_E_pos_1,count_E_pos_2,count_E_neg_1,per100_T_pos_1,per100_T_pos_2,per100_T_neg_1,per100_T_neg_2,per100_T_neg_3,per100_TS_pos_1,per100_TS_pos_2,per100_TS_neg_1,per100_SB_pos_1,per100_SB_pos_2,per100_SB_pos_3,per100_E_pos_1,per100_E_pos_2,per100_E_neg_1,set,role,containment
S1_gen,530,0,0,9,2,3,0,0,0,0,32,1,1,34,32,0.0,0.0,1.6981132075471699,0.37735849056603776,0.5660377358490566,0.0,0.0,0.0,0.0,6.037735849056604,0.18867924528301888,0.18867924528301888,6.415094339622642,6.037735849056604,S1,generated,
S1_nb1,368,0,0,1,4,3,0,0,1,0,16,3,1,17,7,0.0,0.0,0.2717391304347826,1.0869565217391304,0.8152173913043478,0.0,0.0,0.2717391304347826,0.0,4.3478260869565215,0.8152173913043478,0.2717391304347826,4.619565217391305,1.9021739130434783,S1,neighbour1,0.6145833333333334
S1_nb2,621,0,0,3,3,2,0,0,0,0,31,4,2,45,23,0.0,0.0,0.4830917874396135,0.4830917874396135,0.322061191626409,0.0,0.0,0.0,0.0,4.99194847020934,0.644122383252818,0.322061191626409,7.246376811594203,3.7037037037037037,S1,neighbour2,0.5833333333333334
S2_gen,493,0,0,0,1,2,0,0,0,0,0,1,0,16,1,0.0,0.0,0.0,0.2028397565922921,0.4056795131845842,0.0,0.0,0.0,0.0,0.0,0.2028397565922921,0.0,3.2454361054766734,0.2028397565922921,S2,generated,
S2_nb1,493,0,0,0,1,2,0,0,0,0,0,2,1,14,1,0.0,0.0,0.0,0.2028397565922921,0.4056795131845842,0.0,0.0,0.0,0.0,0.0,0.4056795131845842,0.2028397565922921,2.839756592292089,0.2028397565922921,S2,neighbour1,1.0
S2_nb2,334,0,0,0,1,0,0,0,0,0,0,1,1,8,1,0.0,0.0,0.0,0.2994011976047904,0.0,0.0,0.0,0.0,0.0,0.0,0.2994011976047904,0.2994011976047904,2.395209580838323,0.2994011976047904,S2,neighbour2,0.8737201365187713
S3_gen,471,0,0,0,0,2,0,0,1,0,42,9,2,43,9,0.0,0.0,0.0,0.0,0.42462845010615713,0.0,0.0,0.21231422505307856,0.0,8.9171974522293,1.910828025477707,0.42462845010615713,9.129511677282379,1.910828025477707,S3,generated,
S3_nb1,341,0,0,0,0,2,0,0,1,0,26,6,2,27,6,0.0,0.0,0.0,0.0,0.5865102639296188,0.0,0.0,0.2932551319648094,0.0,7.624633431085044,1.7595307917888563,0.5865102639296188,7.9178885630498534,1.7595307917888563,S3,neighbour1,1.0
S3_nb2,257,0,0,0,0,2,0,0,1,0,16,4,2,17,4,0.0,0.0,0.0,0.0,0.7782101167315175,0.0,0.0,0.38910505836575876,0.0,6.22568093385214,1.556420233463035,0.7782101167315175,6.614785992217898,1.556420233463035,S3,neighbour2,1.0
S4_gen,185,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5405405405405406,1.6216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S4,generated,
S4_nb1,424,1,0,0,1,3,1,0,0,1,0,1,1,18,0,0.2358490566037736,0.0,0.0,0.2358490566037736,0.7075471698113207,0.2358490566037736,0.0,0.0,0.2358490566037736,0.0,0.2358490566037736,0.2358490566037736,4.245283018867925,0.0,S4,neighbour1,0.1348314606741573
S4_nb2,725,5,0,0,1,3,5,0,0,5,0,1,0,37,7,0.6896551724137931,0.0,0.0,0.13793103448275862,0.41379310344827586,0.6896551724137931,0.0,0.0,0.6896551724137931,0.0,0.13793103448275862,0.0,5.103448275862069,0.9655172413793104,S4,neighbour2,0.12921348314606743
S5_gen,256,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0.0,0.0,0.0,0.0,0.390625,0.0,0.0,0.0,0.0,0.0,0.390625,0.0,1.171875,0.0,S5,generated,
S5_nb1,174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747126436781609,0.0,S5,neighbour1,0.6681222707423581
S5_nb2,250,1,0,0,0,0,1,0,0,1,0,0,0,4,1,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,1.6,0.4,S5,neighbour2,0.6593886462882096
