name,length,count_T_pos_1,count_T_pos_2,count_T_neg_1,count_T_neg_2,count_T_neg_3,count_TS_pos_1,count_TS_pos_2,count_TS_neg_1,count_SB_pos_1,count_SB_pos_2,count_SB_pos_3,count_E_pos_1,count_E_pos_2,count_E_neg_1,per100_T_pos_1,per100_T_pos_2,per100_T_neg_1,per100_T_neg_2,per100_T_neg_3,per100_TS_pos_1,per100_TS_pos_2,per100_TS_neg_1,per100_SB_pos_1,per100_SB_pos_2,per100_SB_pos_3,per100_E_pos_1,per100_E_pos_2,per100_E_neg_1,set,role,protparam_safe
1.1,1096,0,0,45,0,3,0,0,1,0,47,4,1,2,0,0.0,0.0,4.105839416058394,0.0,0.2737226277372263,0.0,0.0,0.09124087591240876,0.0,4.288321167883212,0.36496350364963503,0.09124087591240876,0.18248175182481752,0.0,1,generated,True
1.2,1713,0,0,17,3,40,0,0,89,0,92,0,23,5,0,0.0,0.0,0.99241097489784,0.17513134851138354,2.335084646818447,0.0,0.0,5.195563339171045,0.0,5.370694687682429,0.0,1.3426736719206072,0.29188558085230587,0.0,1,blast1,True
1.3,1984,0,0,24,7,8,0,0,0,0,50,23,3,3,2,0.0,0.0,1.2096774193548387,0.3528225806451613,0.4032258064516129,0.0,0.0,0.0,0.0,2.5201612903225805,1.159274193548387,0.15120967741935484,0.15120967741935484,0.10080645161290322,1,blast2,False
2.1,926,0,0,15,0,2,0,4,2,0,18,5,3,11,1,0.0,0.0,1.6198704103671706,0.0,0.2159827213822894,0.0,0.4319654427645788,0.2159827213822894,0.0,1.9438444924406046,0.5399568034557235,0.32397408207343414,1.187904967602592,0.1079913606911447,2,generated,True
2.2,1713,0,0,1,1,23,0,0,169,0,140,0,5,9,1,0.0,0.0,0.05837711617046118,0.05837711617046118,1.3426736719206072,0.0,0.0,9.865732632807939,0.0,8.172796263864566,0.0,0.29188558085230587,0.5253940455341506,0.05837711617046118,2,blast1,True
2.3,1603,0,0,0,0,0,0,0,0,0,0,0,0,140,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.733624454148472,3.9925140361821585,2,blast2,True
3.1,312,0,0,2,0,0,0,0,2,0,11,4,1,10,3,0.0,0.0,0.6410256410256411,0.0,0.0,0.0,0.0,0.6410256410256411,0.0,3.5256410256410255,1.2820512820512822,0.32051282051282054,3.2051282051282053,0.9615384615384616,3,generated,True
3.2,367,0,0,0,3,1,0,0,0,0,4,1,2,7,1,0.0,0.0,0.0,0.8174386920980926,0.2724795640326976,0.0,0.0,0.0,0.0,1.0899182561307903,0.2724795640326976,0.5449591280653951,1.9073569482288828,0.2724795640326976,3,blast1,True
3.3,279,0,1,1,1,1,0,0,2,0,6,3,0,6,2,0.0,0.35842293906810035,0.35842293906810035,0.35842293906810035,0.35842293906810035,0.0,0.0,0.7168458781362007,0.0,2.150537634408602,1.075268817204301,0.0,2.150537634408602,0.7168458781362007,3,blast2,True
4.1,869,0,0,0,1,1,0,0,0,0,0,0,0,68,23,0.0,0.0,0.0,0.11507479861910241,0.11507479861910241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.825086306098965,2.6467203682393556,4,generated,True
4.2,648,7,0,0,0,1,7,0,0,7,0,1,0,54,22,1.0802469135802468,0.0,0.0,0.0,0.15432098765432098,1.0802469135802468,0.0,0.0,1.0802469135802468,0.0,0.15432098765432098,0.0,8.333333333333334,3.3950617283950617,4,blast1,True
4.3,2357,0,0,1,3,6,0,0,0,0,129,2,16,171,71,0.0,0.0,0.04242681374628765,0.12728044123886295,0.2545608824777259,0.0,0.0,0.0,0.0,5.473058973271107,0.0848536274925753,0.6788290199406024,7.254985150615189,3.0123037759864233,4,blast2,True
5.1,521,0,0,25,0,4,0,0,0,0,25,3,1,1,0,0.0,0.0,4.798464491362764,0.0,0.7677543186180422,0.0,0.0,0.0,0.0,4.798464491362764,0.5758157389635317,0.19193857965451055,0.19193857965451055,0.0,5,generated,True
5.2,1984,0,0,24,7,8,0,0,0,0,50,23,3,3,2,0.0,0.0,1.2096774193548387,0.3528225806451613,0.4032258064516129,0.0,0.0,0.0,0.0,2.5201612903225805,1.159274193548387,0.15120967741935484,0.15120967741935484,0.10080645161290322,5,blast1,False
5.3,2472,0,0,0,6,4,0,0,3,0,52,28,15,60,1,0.0,0.0,0.0,0.24271844660194175,0.16181229773462782,0.0,0.0,0.12135922330097088,0.0,2.103559870550162,1.132686084142395,0.6067961165048543,2.4271844660194173,0.040453074433656956,5,blast2,True
