set,role,name,length,molecular_weight,instability_index,isoelectric_point,gravy,aromaticity,frac_helix_legacy,frac_turn_legacy,frac_sheet_legacy,frac_helix_corrected,frac_turn_corrected,frac_sheet_corrected,pct_A,pct_C,pct_D,pct_E,pct_F,pct_G,pct_H,pct_I,pct_K,pct_L,pct_M,pct_N,pct_P,pct_Q,pct_R,pct_S,pct_T,pct_V,pct_W,pct_Y,kmer_containment_to_generated
S1,generated,S1_gen,530,45464.9989,30.282075471698114,5.264507102966308,-0.5267924528301886,0.04905660377358491,0.10566037735849057,0.6584905660377358,0.14150943396226415,0.14150943396226415,0.6641509433962264,0.11320754716981132,11.69811320754717,0.18867924528301888,0.5660377358490566,0.18867924528301888,0.18867924528301888,36.0377358490566,0.37735849056603776,0.9433962264150944,0.0,2.0754716981132075,0.18867924528301888,1.3207547169811322,14.90566037735849,9.245283018867925,0.37735849056603776,13.584905660377359,0.7547169811320755,2.6415094339622645,0.0,4.716981132075472,
S1,neighbour1,S1_nb1,368,32044.604300000003,33.13614130434782,5.428714942932127,-0.28070652173913047,0.04619565217391305,0.12771739130434784,0.5760869565217391,0.21739130434782608,0.21739130434782608,0.5842391304347826,0.1331521739130435,17.66304347826087,0.2717391304347826,0.8152173913043478,0.2717391304347826,0.0,29.076086956521742,0.2717391304347826,0.5434782608695652,0.0,3.804347826086957,0.0,0.8152173913043478,13.31521739130435,8.967391304347826,0.8152173913043478,14.402173913043478,0.5434782608695652,3.804347826086957,0.0,4.619565217391304,0.6145833333333334
S1,neighbour2,S1_nb2,621,53359.350099999996,30.009983896940405,6.6541635513305675,-0.43285024154589374,0.046698872785829314,0.0966183574879227,0.5748792270531401,0.21256038647342995,0.21256038647342995,0.5797101449275363,0.10305958132045089,18.84057971014493,0.1610305958132045,0.4830917874396135,0.1610305958132045,0.0,32.689210950080515,0.322061191626409,0.4830917874396135,0.0,2.254428341384863,0.0,0.4830917874396135,12.88244766505636,11.594202898550725,0.644122383252818,11.43317230273752,0.644122383252818,2.254428341384863,0.0,4.669887278582931,0.5833333333333334
S2,generated,S2_gen,493,44383.9097,29.43002028397563,6.550546073913575,-0.35294117647058826,0.06490872210953347,0.13387423935091278,0.5821501014198783,0.18864097363083165,0.1947261663286004,0.5963488843813387,0.16024340770791076,13.387423935091277,0.2028397565922921,1.4198782961460445,1.0141987829614605,1.8255578093306288,29.006085192697768,0.2028397565922921,1.8255578093306288,0.6085192697768762,2.839756592292089,1.6227180527383367,1.8255578093306288,12.373225152129818,5.476673427991886,1.8255578093306288,15.010141987829615,2.636916835699797,2.231237322515213,0.4056795131845842,4.259634888438134,
S2,neighbour1,S2_nb1,493,44414.0253,29.929208924949258,7.735638999938964,-0.34908722109533474,0.06288032454361055,0.13184584178498987,0.5801217038539553,0.1926977687626775,0.19878296146044624,0.5943204868154158,0.15821501014198783,13.793103448275861,0.2028397565922921,1.4198782961460445,1.0141987829614605,1.8255578093306288,28.397565922920894,0.2028397565922921,1.8255578093306288,0.6085192697768762,2.839756592292089,1.6227180527383367,1.8255578093306288,12.778904665314403,5.273833671399594,2.028397565922921,15.010141987829615,2.636916835699797,2.231237322515213,0.4056795131845842,4.056795131845842,1.0
S2,neighbour2,S2_nb2,334,31548.894899999996,35.64131736526945,5.7214357376098635,-0.2637724550898204,0.0688622754491018,0.16467065868263472,0.5059880239520959,0.2155688622754491,0.2245508982035928,0.5269461077844312,0.20059880239520958,13.47305389221557,0.29940119760479045,2.095808383233533,1.4970059880239521,2.694610778443114,22.45508982035928,0.29940119760479045,2.694610778443114,0.8982035928143712,4.191616766467066,2.3952095808383236,2.3952095808383236,10.479041916167663,5.9880239520958085,2.3952095808383236,15.269461077844312,3.592814371257485,2.694610778443114,0.5988023952095809,3.592814371257485,0.8737201365187713
S3,generated,S3_gen,471,41997.0154,33.92696390658173,7.963473320007323,-0.5842887473460722,0.04246284501061571,0.1040339702760085,0.535031847133758,0.1932059447983015,0.1932059447983015,0.5371549893842887,0.10615711252653928,16.772823779193207,0.21231422505307856,0.21231422505307856,0.21231422505307856,0.0,30.78556263269639,0.21231422505307856,1.0615711252653928,0.0,2.1231422505307855,0.21231422505307856,0.6369426751592357,13.800424628450106,17.40976645435244,0.6369426751592357,8.280254777070063,0.21231422505307856,2.9723991507431,0.0,4.246284501061571,
S3,neighbour1,S3_nb1,341,30630.340099999998,36.52258064516129,8.021236991882326,-0.42316715542522,0.04105571847507331,0.12609970674486803,0.5190615835777126,0.20821114369501467,0.20821114369501467,0.5219941348973607,0.12903225806451613,17.302052785923756,0.2932551319648094,0.2932551319648094,0.2932551319648094,0.0,27.859237536656888,0.2932551319648094,1.466275659824047,0.0,2.932551319648094,0.2932551319648094,0.8797653958944283,12.609970674486803,15.542521994134898,0.8797653958944283,10.557184750733137,0.2932551319648094,4.105571847507331,0.0,4.105571847507331,1.0
S3,neighbour2,S3_nb2,257,23316.8221,39.91828793774318,8.06875019073486,-0.2509727626459144,0.038910505836575876,0.1517509727626459,0.5019455252918288,0.22178988326848248,0.22178988326848248,0.5058365758754864,0.1556420233463035,17.509727626459142,0.38910505836575876,0.38910505836575876,0.38910505836575876,0.0,24.5136186770428,0.38910505836575876,1.9455252918287937,0.0,3.8910505836575875,0.38910505836575876,1.1673151750972763,11.284046692607005,13.618677042801556,1.1673151750972763,13.229571984435799,0.38910505836575876,5.447470817120623,0.0,3.8910505836575875,1.0
S4,generated,S4_gen,185,18873.6075,44.645945945945954,4.394643211364747,0.14864864864864866,0.05945945945945946,0.2594594594594595,0.2702702702702703,0.31891891891891894,0.34594594594594597,0.3081081081081081,0.3081081081081081,18.37837837837838,0.0,3.783783783783784,3.783783783783784,3.783783783783784,5.9459459459459465,0.5405405405405406,3.783783783783784,2.7027027027027026,8.108108108108109,1.6216216216216217,3.2432432432432434,0.5405405405405406,10.27027027027027,1.0810810810810811,17.2972972972973,4.864864864864865,8.108108108108109,1.0810810810810811,1.0810810810810811,
